49	0.8	0.05			
1	297.60021	10000	1	115800	38.56685	121.46736
2	179.90455	10000	1	101800	42.66575	73.799017
3	169.8651	10000	1	72600	30.30588	97.750522
4	129.37926	10000	1	72400	30.457	84.281399
5	118.81643	10000	1	38400	40.27605	76.884503
6	114.30602	10000	1	59200	39.781433	89.644654
7	108.47115	10000	1	66000	39.988933	82.987381
8	92.95297	10000	1	48400	42.7091	84.553996
9	77.30188	10000	1	71300	40.2234	74.764224
10	66.28637	10000	1	96600	35.82195	78.658753
11	64.78216	10000	1	71200	33.7629	84.422592
12	61.87358	10000	1	66600	37.53105	77.474584
13	60.16425	10000	1	161400	42.336029	71.017892
14	55.44159	10000	1	60800	39.7764	86.146196
15	51.17073	10000	1	61500	38.571902	92.190459
16	48.91769	10000	1	75200	43.0798	89.387519
17	48.77185	10000	1	74400	36.17155	86.784829
18	48.66692	10000	1	77800	47.041917	122.893766
19	47.81468	10000	1	138500	38.97165	76.503033
20	43.75099	10000	1	70900	44.947744	93.103686
21	42.19973	10000	1	67900	30.448967	91.126043
22	40.40587	10000	1	62200	32.3544	86.284287
23	36.85296	10000	1	61500	38.19077	84.865203
24	36.65228	10000	1	77100	33.54255	112.071399
25	34.86703	10000	1	72600	34.039236	80.886341
26	32.94394	10000	1	79000	39.768035	104.872655
27	32.87116	10000	1	133800	41.7657	72.683866
28	31.45585	10000	1	54900	35.46705	97.513491
29	28.42321	10000	1	60300	44.9245	123.022057
30	27.76755	10000	1	49500	41.576738	93.617405
31	25.73216	10000	1	54600	32.3205	90.207591
32	24.77574	10000	1	48800	39.0379	95.691999
33	23.50725	10000	1	64200	34.7224	92.354076
34	17.93477	10000	1	66100	38.35055	81.630439
35	17.2285	10000	1	67200	40.777267	111.929921
36	15.78385	10000	1	61700	40.8164	96.688171
37	15.15069	10000	1	99000	35.678502	105.954149
38	12.27928	10000	1	79500	44.330647	69.729714
39	12.01833	10000	1	99300	39.148328	119.743243
40	11.09252	10000	1	112400	43.231594	71.560077
41	10.06749	10000	1	67700	43.606651	116.2261
42	10.03464	10000	1	113000	41.82195	71.419732
43	7.99065	10000	1	63200	46.596522	112.020381
44	6.96004	10000	1	59500	44.372982	100.322483
45	6.66168	10000	1	88700	39.158691	75.517441
46	6.388	10000	1	67900	46.805467	100.767298
47	6.069	10000	1	123900	38.90505	77.016167
48	5.62758	10000	1	94100	44.266482	72.571854
49	4.53588	10000	1	68700	41.14545	104.792349
