49
1	Sacramento, CA	297.60021	115800	38.56685	121.46736
2	Albany, NY	179.90455	101800	42.66575	73.799017
3	Austin, TX	169.8651	72600	30.30588	97.750522
4	Tallahassee, FL	129.37926	72400	30.457	84.281399
5	Harrisburg, PA	118.81643	38400	40.27605	76.884503
6	Springfield, IL	114.30602	59200	39.781433	89.644654
7	Columbus, OH	108.47115	66000	39.988933	82.987381
8	Lansing, MI	92.95297	48400	42.7091	84.553996
9	Trenton, NJ	77.30188	71300	40.2234	74.764224
10	Raleigh, NC	66.28637	96600	35.82195	78.658753
11	Atlanta, GA	64.78216	71200	33.7629	84.422592
12	Richmond, VA	61.87358	66600	37.53105	77.474584
13	Boston, MA	60.16425	161400	42.336029	71.017892
14	Indianapolis, IN	55.44159	60800	39.7764	86.146196
15	Jefferson City, MO	51.17073	61500	38.571902	92.190459
16	Madison, WI	48.91769	75200	43.0798	89.387519
17	Nashville-Davidson, TN	48.77185	74400	36.17155	86.784829
18	Olympia, WA	48.66692	77800	47.041917	122.893766
19	Annapolis, MD	47.81468	138500	38.97165	76.503033
20	St. Paul, MN	43.75099	70900	44.947744	93.103686
21	Baton Rouge, LA	42.19973	67900	30.448967	91.126043
22	Montgomery, AL	40.40587	62200	32.3544	86.284287
23	Frankfort, KY	36.85296	61500	38.19077	84.865203
24	Phoenix, AZ	36.65228	77100	33.54255	112.071399
25	Columbia, SC	34.86703	72600	34.039236	80.886341
26	Denver, CO	32.94394	79000	39.768035	104.872655
27	Hartford, CT	32.87116	133800	41.7657	72.683866
28	Oklahoma City, OK	31.45585	54900	35.46705	97.513491
29	Salem, OR	28.42321	60300	44.9245	123.022057
30	Des Moines, IA	27.76755	49500	41.576738	93.617405
31	Jackson, MS	25.73216	54600	32.3205	90.207591
32	Topeka, KS	24.77574	48800	39.0379	95.691999
33	Little Rock, AR	23.50725	64200	34.7224	92.354076
34	Charleston, WV	17.93477	66100	38.35055	81.630439
35	Salt Lake City, UT	17.2285	67200	40.777267	111.929921
36	Lincoln, NE	15.78385	61700	40.8164	96.688171
37	Santa Fe, NM	15.15069	99000	35.678502	105.954149
38	Augusta, ME	12.27928	79500	44.330647	69.729714
39	Carson City, NV	12.01833	99300	39.148328	119.743243
40	Concord, NH	11.09252	112400	43.231594	71.560077
41	Boise City, ID	10.06749	67700	43.606651	116.2261
42	Providence, RI	10.03464	113000	41.82195	71.419732
43	Helena, MT	7.99065	63200	46.596522	112.020381
44	Pierre, SC	6.96004	59500	44.372982	100.322483
45	Dover, DE	6.66168	88700	39.158691	75.517441
46	Bismarck, ND	6.388	67900	46.805467	100.767298
47	Washington, DC	6.069	123900	38.90505	77.016167
48	Montpelier, VT	5.62758	94100	44.266482	72.571854
49	Cheyenne, WY	4.53588	68700	41.14545	104.792349
